Id,Character,Description,Quote,Linkimage
11,Billy Pilgrim,"A weak boy soldier who in later years meets an alien race that opens up to him the truth of measured time. Back and forth Billy relives the nonlinear progression of his life, seeing his family members', his acquaintances', and his own death countless times. He even witnesses the purple realm of Death itself and no longer fears it. With a sensitive heart bleeding at sights of a starved war horse, homeless bums on rail cars, a phone operator on the opposite end, Billy continues on or so it goes. Yet he teaches us all to live life in moments and not timeline events in chronology.",,BillyPilgrim.jpg
12,Bleeding Gums Murphy,"The middle-aged saxophonist who mentors a talented, young protégé, but sadly carries the weight of the world on his shoulders. Poor, hapless Bleeding Gums Murphy once a highly successful recording artist, now suffers the pangs of depleted funds and lost stardom. Now, the jazz man roams alleys, streets, and bridges attempting to bring out of dark nights the living entity of art and music. Sadly, the soul-torn musician passes away dying like he lived: unremembered and unloved. Yet ultimately, Bleeding Gums shows us all the painful beauty of transforming life's woes into tender lyrics and heartfelt notes that last beyond lifetimes; and how the blues is the crying anthem of the meek.","Oh, I'm so lonely,/Since my baby left me./I got no money,/And nothing is free./Oh, I been so lonely,/Since the day I was born./All I got is this rusty,/This rusty old horn.",BleedingGums.jpg
13,Bob Cratchit,"An always self-denying, faithful servant especially in face of heartless authority, Bob Cratchit works as a low-paid clerk treated poorly at his job. But in spite of his misery, he continues to show loyalty to his boss and his endearing family. Pushed by a business-hungry, capitalistic system and a poverty-stricken English slum, poor Mr. Cratchit must struggle in past, present, and future. Yet, the warmth of his loving wife and children make the journey easier and worthwhile. Always patient even driven under the lash by the slave driver, he reminds us all the true humbleness and purity of the human spirit.",,BobCratchit.jpg
14,Brooks Hatlen,"An old crook who found peace within the menacing walls of Shawshank prison; the warm-hearted prison librarian doomed because of a cold-blooded past becomes a caretaker of a broken-winged bird. So when Brooks is finally paroled, the scared, sad old man is unable to survive on the outside. Cars fly by in a dizzying speed. A store manager adds to annoying stress. A halfway house proves to be a poor home for a fearful old scoundrel. So poor hapless Brooks misses his old life of lines and wardens, and struggles to make it each day in society, learning that redemption and retribution usually lasts a lifetime and beyond.","The parole board got me into this halfway house called ""The Brewer"" and a job bagging groceries at the Foodway. It's hard work and I try to keep up, but my hands hurt most of the time. I don't think the store manager likes me very much. Sometimes after work, I go to the park and feed the birds. I keep thinking Jake might just show up and say hello, but he never does. I hope wherever he is, he's doin' okay and makin' new friends. I have trouble sleepin' at night. I have bad dreams like I'm falling. I wake up scared. Sometimes it takes me a while to remember where I am. Maybe I should get me a gun and rob the Foodway so they'd send me home. I could shoot the manager while I was at it, sort of like a bonus. I guess I'm too old for that sort of nonsense any more. I don't like it here. I'm tired of being afraid all the time. I've decided not to stay. I doubt they'll kick up any fuss. Not for an old crook like me.",BrooksHatlen.jpg
15,C. Green,"The unidentified, anonymous man who jumped out of the twelfth floor of a Brooklyn hotel room. Just an assumed name -C. Green- was plastered on a nine-line newspaper print of this thirty-five year old suicidal. No one knew who he was, why he did it, or what he wanted or needed if they even cared except that his senseless death paralleled his meaningless life. Poor, hapless C. Green who was no unique standout in life, just a duplicated face in the crowd, just another number in the masses, Now, the fateful creature lies as an exploded body on a concrete pavement with blood and brain fragments nearby. His rebellion came with shock. Yet, a hollow surface existence ended in deep, profound impact for everyone.","Or when, with strong faces turning towards the setting sun, hawk-eyed and Indian-visaged men bore gun-stocks on the western trails and sternly heard the fierce war-whoops around the Painted Buttes--where, then, was Green? Was never there with Drake's men in the evening when the sails stood in from the Americas! Was never there beneath the Spaniard's swarthy eye at Vincent's Cape! Was never there in the red-oak thicket in the morning! Was never there to hear the war-cries round the Painted Buttes! No, no. He was no voyager of unknown seas, no pioneer of western trails. He was life's little man, life's nameless cypher, life's man-swarm atom, life's American--and now he lies disjected and exploded on a street in Brooklyn!",CGreen.jpg
16,C-3PO,"The worry-prone, protocol droid who was built and programmed amid the crossfire of a raging star wars. Trained in over six million forms of communication, See-Threepio brings an air of genteelism and decorum, lost among the dry sands of barren planets. Scared of spaceships, he conquers the feat for a team. He translates. He explains. He helps along the way. As a dark Empire descends, See-Threepio is destroyed but then is salvaged back together. Though really a robot, a heap of scrap and metal with wires protruding, C-3PO carries human qualities of frailty, concern, and thoughtfulness, holding up a mirror to our better selves.",,C3PO.jpg
17,Captain Ahab,"The maniacally driven sea captain on a relentless chase for a white whale. After losing a leg the lonely whaleman with boiling blood and smoking brow launches a forty-year campaign of revenge. Through his hot pursuit of the leviathan, Ahab broods on life's themes in painful eloquence. Deep under the madness though, Ahab exhibits love of a wife and child, and friendship with a noble, first mate. Symbolizing America's pursuit of riches and power, mankind's battle over nature, good versus evil, poor Ahab piles all rages and hungers in the hump of his prey and dives to his lonely death to destroy it. ","Glorious ship! must ye then perish, and without me? Am I cut off from the last fond pride of meanest shipwrecked captains? Oh, lonely death on lonely life! Oh, now I feel my topmost greatness lies in my topmost grief. Ho, ho! from all your furthest bounds, pour ye now in, ye bold billows of my whole foregone life, and top this one piled comber of my death! Towards thee I roll, thou all-destroying but unconquering whale; to the last I grapple with thee; from hell's heart I stab at thee; for hate's sake I spit my last breath at thee. Sink all coffins and all hearses to one common pool! and since neither can be mine, let me then tow to pieces, while still chasing thee, though tied to thee, thou damned whale!",CaptainAhab.jpg
18,Captain Willard,"A reserved war veteran who couldn't make it on the outside of a Vietcong jungle. Miserable in a peaceful life, Captain Willard took a mission into a jungle war zone. Facing bombs, noise, missiles, grenades, flying bullets, and relentless heat, Captain Willard and his crew of misfits continues on into the horror, the horror. Maybe just an errand boy sent by grocery clerks to collect a bill, he performs his task. But before and after, he bears witness to barbarism, foreign culture, human madness, and pitiful war. Coming out with a full-bred, pulsating heart and intact senses, Captain Willard shows he is not a hollow man.","""Someday this war's gonna end."" That'd be just fine with the boys on the boat. They weren't looking for anything more than a way home. Trouble is, I'd been back there, and I knew that it just didn't exist anymore.",CaptainWillard.jpg
19,Carlton Banks,"The preppy, pedantic straight-A student who got everything materially but not socially. Bred from an upper class life, poor Carlton never quite settled in social circles; never quite felt the continual fond embrace of a girl; never quite belonged to the close network of cliques. Somewhat snobby, Carlton nevertheless symbolizes the sad penalty of success; how even the good and honest never win in the late 20th century America. However, Carlton whose taste in popular culture usually are at odds with his peers, always exhibits a vivacious spirit that remains eternally aflame despite being denied social belonging.","You think I'm a sellout... Why? Because I live in a big house where I dress a certain way? Or maybe it's because I like Barry Manilow?...Being black isn't what I'm trying to be, it's what I am. I'm running the same race and jumping the same hurdles as you, so why are you tripping me up? You said we need to stick together, but you don't even know what that means. If you ask me, you're the real sellout.",CarltonBanks.jpg
20,Cash Bundren,"The reticent carpenter who is always willing to give especially in danger. As a troubled family prepares to journey to bury a mother, Cash hardly evokes an emotion or utters a word except through swings to carve out a wooden coffin. On and on he grinds, pounds, and fashions his wood pieces. His family members have come to talk to the background to the axe's grinds. Even in the midst of danger, with a leg nearly broken, cement hardening over the limb, the courageous carpenter, wordless to the end, gives his last breath. But his wooden pieces and beloved tools live on.","How do our lives ravel out into the no-wind, no-sound, the weary gestures wearily recapitulant: echoes of old compulsions with no-hand on no-strings: in sunset we fall into furious attitudes, dead gestures of dolls. Cash broke his leg and now the sawdust is running out. He is bleeding to death is Cash.",CashBundren.jpg
21,Charles Foster Kane,"The classic story of rags to riches of a poor boy from Colorado who rose to become an eminent New York newspaper magnate. Charles Foster Kane continued to garner wealth, prestige, honor, and power. But he learns the sad toll paid on the road to success. Wife to second wife, an attempt at politics, a palace estate in Florida, Charles lived the American Dream. But loneliness trickled in; the cutthroat business asked for more; the empire falls. Despite it all, as Charles loses all possessions and prestige, he carries the boyhood sunshine of his youth, symbolized in a wooden sled that can never burn away.",,CharlesKane.jpg
22,Charley Parks,"Caught in a confused world peopled by misguided beings in a misunderstood universe, poor, lonely Charley wanders astray through his daily routine. His only hope, only faint whisper of life, enough to overcome his drab existence is a miniature figure in a museum doll house. There, the socially awkward, mentally anguished, emotionally distraught Charley falls in love with a wooden lady piece. Away from a sister and mother, too blind to his heartrending tragedy and too deaf to hear the mute cry of his soul, Charley with a pure, innocent essence helps turn imagination into reality, alienation into companionship, survival into love.","They tried to tell me you weren't real. They tried to make me think you were only something I imagined. Of course I knew better. But I pretended to believe them. Because if I hadn't done that, I would still be in the hospital and I would never have seen you again. That would have been terrible because you see, I love you...Dr. Wallman said it happened because I needed a simple world that I could undersand. But your world isn't simple. Is it? No world with people in it is. There's always loneliness, suffering and heartache. Look at you, crying because you're alone. Well, I've been alone all my life. Oh people tried; my mother, my sister, they tried very heard to understand. But they can't. You could. We could understand each other and help each other and love each other.",CharleyParks.jpg
23,Charlie Bucket,"The poor boy who won the golden ticket. Hard-luck in family affairs, Charlie's story starts off as the good kid who finishes last. But hope comes in a chocolate candy bar. Accompanied by peevish, snotty kids, Charlie travels through a magical, fanciful factory of innumerable treats. He learns the lessons along the way and his good deed shines in a weary world. From a story whose sure end was defeat, Charlie shows us that the little guy can win; and that the good guy with purity in his soul who suddenly got everything he ever wanted can live happily ever after. ",,CharlieBucket.jpg
24,Charlie Gordon,"The poor, mentally retarded janitor and delivery boy at the local bakery who is taken advantage of by the outside world; a simple-minded, childlike innocent thirty-two year old man crippled emotionally and socially by a disability. And yet Charlie undergoes an experiment that heightens his IQ to genius status, he learns the sad reality of the world. Because of a scientist treating him as a lab rat, an unrequited love with a former teacher, and a troubled familial past, the once, pure, childlike soul transforms into a cynical, arrogant, even suicidal being. And yet we all learn from Charlie that being human and pure in spirit carries wtih it no IQ",,CharlieGordon.jpg
25,Clarisse McClellan,"The beautiful soul wrapped in a seventeen-year old girl who with a curious consciousness and love of people and nature is an outcast in the future. Clarisse discovered what most never do: the meaning of life. Against a dehumanizing, speedy, totalitarian society, Clarisse longs for early sunrises and morning dew, waving away the long, stretched billboards and speed-hungry passers-by who see brown streaks as cows and green streaks as grass. Poor, darling Clarisse, a most odd being in a futuristic landscape, suffers an untimely end. Why? Because her only crime was being tired of fact-learning in schools; for slowing down the pace just to walk and talk; and for being an individual thinker in a stifling, conforming universe. Yes, Clarisse we wish to go in the abyss with you than continue on in this robotic herd of an existence.","Have you ever watched the jet cars racing on the boulevards down that way. I sometimes think drivers don't know what grass is, or flowers, because they never see them slowly. If you showed a driver a green blur, Oh yes! he'd say, that's grass! A pink blur! That's a rose garden! White blurs are houses. Brown blurs are cows. My uncle drove slowly on a highway once. He drove at forty miles an hour and they jailed him for two days. Isn't that funny, and sad, too? I rarely watch the 'parlor walls' or go to the races or Fun Parks. So I've lots of time for crazy thoughts, I guess...Bet I know something else you don't. There's dew on the grass in the morning. And if you look there's a man in the moon. My uncle was arrested another time -did I tell you? For being a pedestrian. Oh, we're most peculiar",ClarisseMcClellan.jpg
26,Daredevil,"The blind superhero and criminal defense attorney who stands up for the law and justice in the streets and in the courtroom. With a tragic past in Hell's Kitchen, New York, Daredevil the man without fear began as the lost and lonely boy without sight. Taken in and trained by a mentor, slowly a superhero was developed. Able to see with a radar sight among heightened other senses, the Daredevil fights crime and stands up for the little man even with vengeful eyes toward a kingpin. From helpless to hero, we see that meekness symbolizes greatness; and we trust it better that justice in all forms is blind.","I couldn't deal with the shame of what I seen my dad doing. It was the last thing I ever saw. The stuff from the truck was radioactive waste and it was against the law to transport it through the city. But somebody didn't care about the law, or about broken lives, or about the value of life at home... My blindness seemed to enhance all my other senses: smell, touch, taste. Now I could see better than before. It was kind of a natural radar but it was so new it confused me. Then, I met a mysterious man named Stick. I wish the world could know about all the effort, all the long hours, where Stick took a lost and lonely blind kid and taught me to see in ways I never knew existed...He helped me to live up to the nickname when kids would tease me when they thought I was blind and helpless -the Daredevil. Now, I am confident, fearless, and am close, so close, to confronting my greatest enemy. He'll pay for what he's done to the innocent, to the helpless, to my father.",Daredevil.jpg
27,Data,"The eternal student of human nature who at the same time explores countless star systems makes his own frontier into mankind's foibles and follies. A sentient, artificial life form known as an android, Data has longed for human emotion despite being an outsider of society. Nonetheless, his honest and innocent curiosity has mirrored the intrinsic goodness of flesh and blood beings. Thus, Data experiences friendship with fellow crew members, romantic sentiments with few partners, and kinship with an android daughter. In the end, his impressive computational skills fall short compared to his demonstration of the beauty of being human. ",,Data.jpg
28,Denver,"The neglected girl tragically facing the trials of slavery. For eighteen long, lonesome years, Denver lived in isolation, dragged around by a socially outlawed mother. For eighteen years, Denver never knew a friend or brother, as they ran away from home. For eighteen years, she continued on through terrible distances. Though haunted by a home, a ghost, Denver beat the odds. She advanced her schooling and headed towards college. Through all the heinous crimes of humanity -slavery, murder- this poor, ragged black girl emerges as a forgotten but nonetheless noteworthy heroine.",,Denver.jpg
29,Dorothy,"The sweet, dear girl from a small town in Kansas who dreams of something else over the rainbow beyond her rural home. As a tornado crashes through, Dorothy finds herself in a magical, imaginative world and even befriends meek characters with a lack of something. So she tries to find home down the yellow brick road toward the Emerald City. Through it all, from wicked witches to wizards, Dorothy learns home is where the heart is and not much exists beyond the backyard of human company; and that no one lacks -they're just not aware.",,DorothyGale.jpg
30,Edmund Tyrone,"The youngest of a troubled family with the most potential. Caught in a melee of alcohol, tuberculosis, sick mother, agitated father, jealous brother, Edmund finds himself a lost relic, adrift, wandering throughout life. Never wanted or wanting, he nonetheless exhibits worth in literature and philosophy. As a seaman he imbibes the intense rhythm and pulsating energy of wind and waves, losing identity and time but finding meaning at last! But the fog returns and Edmund is battling a family again, human affairs again; the same tragic tale of young intellectuals surviving day to day.","When I was on the Squarehead square rigger, bound for Buenos Aires. Full moon in the Trades. The old hooker driving fourteen knots. I lay on the bowsprit, facing astern, with the water foaming into spume under me, the masts with every sail white in the moonlight, towering high above me. I became drunk with teh beauty and singing rhythm of it, and for a moment I lost myself -actually lost my life. I was set free! I dissolved into the sea, became white sails and flying spray, becamse beauty and rhythm, became moonlight and the ship and the high dim-starred sky! I belonged, without past or future, within peace and unity and a wild joy, within something greater than myself or the life of Man, to Life itself!",EdmundTyrone.jpg
31,Edna Pontellier,"The poor pawn in a patriarchical society, stifled, controlled, and limited by conservatism that somehow always seeped through the cracks and crevices of nineteen-century American life. Twenty-eight year old Edna, wearied and alone by the automaton existence of dutiful wife and mother, finds solace in newly awakened feelings. Finally given new life away from the pale, dead sigh as a New Orleans mistress, the idealistic, independent Edna emotionally lingers on piano strains and sexual urges. She disregarded society's conventions to resuscitate a soul. She swims out to capture limitless seas. She paints away a gray voided life.",,EdnaPontellier.jpg
32,Elizabeth Bates,"The soul-torn creature spit on and trampled on by a distant, drunk husband and the coal mining life. More a mother than a wife, a numbed being than a sentient soul, poor Elizabeth must endure for the sake of a household with inhuman stamina. The unlucky wife of a coal miner whose only marriage duty was to wait: wait in exasperation, wait in fear, wait in hatried, wait by candlelight for her husband's nightly drunken raids. Then, hapless Elizabeth plagued by the mocking perfume of chrysanthemums finally learns of her husband's death, relieving her of a heavy weight but not its aftermaths.",,ElizabethBates.jpg
33,Emily Grierson,"A once, elite noblewoman of a myopic Southern town soon becomes a secluded hermit in a two-story house. After an important father died so did the once young, vibrant creature with only a finger count of acquaintances to stir the sameness across the years. And all the while a gossiping town that never forgives or forgets keeps humming the same, sad refrain: ""poor Emily, poor Emily."" Indeed it was for poor, hapless Emily who watches the years pile on, growing sick with time, old with iron-gray hair, fat with inactive isolation; stripped of all rank, class, and status in a sad, earthly condition: not, barely surviving, doubtfully existing. So when it was time for Emily to be carried off after the bygone of generations, the china-painter becomes a bride to death itself.",,EmilyGrierson.jpg
34,Emily Webb,"The innocent, young darling of Grover's Corner, New Hampshire who found in a lonely cemetery on top of a hill, the passing, joyless transience of human life. Poor Emily, bred from an automaton family, reared by romantic love, sadly died in untimely childbirth. From there, the sensitive creature with heart pouring with nostalgia and sadness discovers the unappreciated hours on earth and how human beings seldom relish each moment while it lasts. Once a school girl, a fiance, a wife, now among the dead; once from an unknown town at the turn of the century, now a spirit who learns the eternal, universal truths humans will always fail to know.","I can't. I can't go on. It goes so fast. We don't have time to look at one another. I didn't realize. All that was going on in life and we never noticed. Take me back - up the hill -  to my grave. But first: Wait! One more look. Good-by, Good-by, world. Good-by, Grover's Corners? Mama and Papa. Good-bye to clocks ticking? And Mama's sunflowers. And food and coffee. And new-ironed dresses and hot baths? And sleeping and waking up. Oh, earth, you're too wonderful for anybody to realize you.",EmilyWebb.jpg
35,Emmeline Grangerford,"Deep in a big, old-fashioned double log house, a precious gem once dwelled inside; a sensitive daughter whose swaddling clothes at birth was a funeral crape and veil. The young Emmeline always wrote poetry, tender heartfelt lays and tributes to any recently deceased living form. Always she lived in a world surrounded by obituaries, accidents, and patient suffering. Even more, Emmeline created painfully beautiful paintings of soul-torn subjects until she became a subject herself. Yet no one wrote her any poetry or made her a drawing. But no doubt the ominous, all-powerful Death for a little while loomed as a pathetic figure alongside this compassionate soul.",,Emmeline.jpg
36,Forrest Gump,"The simple-minded young man who got every successful thing to go his way and still epitomizes humility and humbleness. Growing up, poor Forrest always endured the stigmatized harshness of being mentally challenged. Yet from a war veteran to a ping pong celebrity to a shrimp tycoon to a world status marathoner, Forrest's life has been the microcosm of the American saga. A honest, modest hero and innocent spirit who only wanted love from a tender mother, a stubborn lieutenant, and especially a childhood sweetheart. In the end, he made us taste the sweetness of life's delicious and at times unknown chocolate.",,ForrestGump.jpg
37,Frankenstein monster,"A horrible-looking progeny of a maddened, ambitious scientist who embodies the very spirit of benevolence and love. Deformed in an ugly appearance on a juggernaut frame, the monster, nameless and unloved, sets his foot on a world he seldom understands. But finding a restful heaven in a dark hovel away from scornful, prejudiced men, the creature learns the beauty of all humanity from simple cottagers. Nevertheless, after an unsuccessful reception the once innocent being turns into a tortured soul reeking destruction and death. So on the poor, soul-torn creature trudges through rugged terrain, reminding us all the shameful behavior of mankind to judge others with their eyes.","I am an unfortunate and deserted creature; I look around, and I have no relation or friend upon earth. These amiable people to whom I go have never seen me, and know little of me. I am full of fears; for if I fail there, I am an outcast in the world for ever...They are kind -they are the most excellent creatures in the world; but, unfortunately, they are prejudiced against me. I have good dispositions; my life has been hitherto harmless, and in some degree beneficial; but a fatal prejudice clouds their eyes, and where they ought to see a feeling and kind friend, they behold a detestable monster.",FrankensteinMonster.jpg
38,Fredo Corleone,"Fumbling at the most inopportune times, Fredo is last in line in the Corleone family -even being ousted by a kid brother. Fighting for respect, Fredo always loses. Yet he stays dutiful in the family business. But inadequacies torment him as his helpless father dies on a curb next to him. Given peripheral enterprises to run, Fredo manages but in the scheming and politics he crosses the line. Then, a wife mockes him openly, feeding fire to his self-pity. At last a quiet lake on a dusky fishing scene, his sad life ends. Yet a family still talks of him, proving one can die but not perish.",,FredoCorleone.jpg
39,Gart Williams,"An ad agency exec caught in the a push-push-push business where he must rush-rush-rush through life. Everyday poor Gart Williams is forced to compete in an inhuman existence for profit and speed. Then, an unsympathetic wife adds to the overwhelming burden for her sensitive, soul-torn husband. At last, grabbing a few moments of respite, hapless Gart finds serenity and solace in a dream-contrived place called Willoughby. After exasperating days and a lifetime of stress and ulcers, Gart years for this peaceful, summertime 19th century paradise. Sadly such a haven is out of reach, leaving Gart to ask the untimely question: will it be?","I would prefer, though never asked before, a job, any job at all where I could be myself. Where I wouldn't have to climb on a stage and go through a masquerade every morning at nine o'clock. And mouth all the dialogue and play the executive and make believe I'm the bright young man who's on his way up 'cause I'm not that person, Janey. You've tried to make me that person but that isn't me. That isn't me at all...I know where I'd like to be...Willoughby. It was summer, very warm. Kids were barefooted. One of them had a fishing pole. It all looked like a Currier and Ives painting. Bandstand, bicycles, wagons. I've never seen such serenity. It was the way people must have lived a hundred years ago. Crazy dream.",GartWilliams.jpg
40,Gerty MacDowell,"The sorrow-faced, Irish dame lovely who shows us on a balmy, summer even the surreal capacity of tenderness and love. A solitude young lady caught up in a marriage no more than its title and name finds her very dream of love dressed in black. With a soul moved to embrace pain and stand up as companion through Earth's dark matter, Gerty, who too knows the burden of a nameless sandess, gives to us a pair of sentimental eyes, a lame gait, and jilted but tender spirit. And presents to us at last how beauty itself can climb down from its high pedestal and walk among the peopled earth as a foreigner and comforter.","He was in deep mourning, she could see that, and the story of a haunting sorrow was written on his face. She would have given worlds to know what it was...The very heart of the girlwoman went out to him, her dreamhusband, because she knew on the instant it was him. If he had suffered, more sinned against than sinning, or even, even, if he had been himself a sinner, a wicked man, she cared not. Even if he was a protestant or methodist she could convert him easily if he truly loved her. There were wounds that wanted healing with heartbalm. She was a womanly woman not like other flighty girls, unfeminine, he had known, those cyclists showing off what they hadn't got and she just yearned to know all, to forgive all if she could make him fall in love with her, make him forget the memory of the past. Then mayhap he would embrace her gently, like a real man, crushing her soft body to him, and love her, his ownest girlie, for herself alone.",GertyMacDowell.jpg
